date,activity_concentration
1967-07-15,
1967-08-19,
1970-08-23,
1970-08-23,
1970-08-23,
1970-08-23,
1972-08-18,
1973-08-18,
1974-08-15,
1975-08-20,
1976-08-21,
1976-12-31,
1977-06-20,
1977-06-20,
1978-05-14,
1978-06-26,
1978-12-24,
1979-04-15,
1979-09-09,1.073
1979-11-25,0.74
1980-03-01,0.777
1980-03-17,0.962
1980-04-07,
1980-05-18,
1980-05-25,0.9805
1980-07-27,
1981-01-03,0.333
1981-05-24,1.48
1981-07-24,0.7585
1981-12-20,
1982-07-11,
1982-09-26,0.851
1982-11-27,
1983-04-03,1.073
1985-01-21,
1985-04-08,
1985-05-19,
1986-03-30,0.1
1986-05-04,0.81
1986-06-07,16.7
1986-07-10,10.7
1986-07-27,11.3
1986-10-19,7.25
1986-12-06,8.5
1986-12-27,4.9
1987-04-20,5.2
1987-08-08,4.9
1987-10-10,4.8
1987-12-24,2.7
1988-01-23,3
1988-04-03,3.1
1988-06-26,4.4
1988-08-27,4.4
1989-03-27,2.3
1989-07-08,4.3
1989-09-23,3.4
1990-05-20,3.3
1990-07-31,2.3
1990-11-03,1.7
1990-12-15,2.2
1991-01-18,1.25
1991-04-01,1.3
1991-06-09,1.6
1991-08-25,
1991-09-28,1.6
1991-11-24,2.4
1992-01-19,0.9
1992-03-21,1.6
1992-07-04,1.5
1992-08-27,0.8
1992-09-26,0.6
1992-12-25,0.8
1993-03-28,0.9
1993-04-11,1
1993-07-23,0.8
1993-10-31,0.6
1993-11-14,0.6
1993-12-25,0.5
1994-03-31,0.9
1994-05-28,0.3
1994-06-25,0.3
1994-07-09,0.6
1994-08-15,1.1
1994-10-09,0.6
1995-02-11,0.3
1995-04-16,0.5
1995-06-03,0.4
1995-08-12,0.4
1995-11-25,0.4
1996-01-20,0.5
1996-03-17,0.4
1996-06-16,0.4
1996-07-22,0.4
1996-09-29,0.8
1996-11-10,0.4
1997-01-03,0.4
1997-06-21,1.1
1997-07-21,0.4
1997-09-28,0.4
1997-12-21,0.3
1998-03-30,0.3
1998-03-31,0.3
1998-07-03,0.3
1998-08-03,0.3
1998-11-08,0.3
1999-01-01,0.3
1999-04-02,0.3
1999-07-03,0.3
1999-08-14,0.3
1999-10-15,
1999-12-31,
2000-03-04,
2000-04-06,
2000-06-05,
2000-07-09,
2000-11-12,
2001-01-01,
2001-01-20,
2001-03-24,
2001-04-14,
2001-07-03,
2001-07-28,
2001-08-25,
2001-10-13,
2001-12-15,
2001-12-31,
2002-03-16,
2002-03-29,
2002-05-26,
2002-08-08,
2002-08-23,
2002-12-01,
2002-12-29,
2003-03-10,
2003-04-20,
2003-06-28,
2003-07-15,
2003-09-07,
2003-12-31,
2004-03-06,
2004-04-12,
2004-06-30,
2005-01-15,
2005-02-24,
2005-03-25,
2005-06-30,
2005-08-03,
2005-12-29,
2006-02-25,
2006-04-16,
2006-05-21,
2006-06-25,
2006-08-01,
2006-11-29,
2007-05-12,
2007-06-22,
2007-08-04,
2007-09-09,
2007-11-04,
2007-12-16,
2008-01-01,
2008-03-21,
2008-04-26,
2008-05-31,
2008-06-12,
2008-07-03,
2008-08-16,
2008-11-03,
2008-11-29,
2008-12-31,
2009-03-14,
2009-04-10,
2009-06-21,
2009-07-23,
2009-08-01,
2009-08-08,
2009-09-13,
2009-12-13,
2009-12-30,
2010-04-02,
2010-05-30,
2010-07-03,
2010-07-20,
2010-08-27,
2010-08-28,
2010-10-24,
2010-12-23,
2011-04-22,
2011-05-15,
2011-06-26,
2011-07-20,
2011-08-12,
2011-10-24,
2011-12-30,
2012-03-05,
2012-04-08,
2012-04-09,
2012-05-20,
2012-07-03,
2012-08-05,
2012-10-22,
2012-12-17,
2013-02-17,
2013-03-11,
2013-05-12,
2013-06-23,
2013-08-07,
2013-09-10,
2013-10-27,
2013-12-26,
2014-01-01,
2014-01-01,
2014-03-18,
2014-04-21,
2014-06-20,
2014-07-20,
2014-09-15,
2014-11-14,
2015-01-19,
2015-04-04,
2015-06-11,
2015-06-11,
2015-06-11,
2015-08-04,
2015-08-04,
2015-08-04,
2015-08-04,
2015-10-04,
2015-12-26,
2016-03-06,
2016-05-15,
2016-06-26,
2016-08-15,
2016-10-02,
2016-11-14,
2016-12-17,
2017-02-06,
2017-04-15,
2017-06-22,
2017-08-11,
2017-10-15,
2017-12-17,
2018-01-20,
2018-03-18,
2018-03-18,
2018-05-10,
2018-06-23,
2018-08-29,
2018-10-28,
2018-12-31,
2019-03-07,
2019-05-16,
2019-06-23,
2019-08-29,
2019-10-16,
2019-11-15,
2019-11-15,
2020-01-06,
2020-03-03,
2020-05-02,
2020-06-23,
2020-08-27,
2020-09-29,
2020-12-06,
2021-01-01,
