date,activity_concentration
1967-07-15,
1967-08-19,
1970-08-23,
1970-08-23,
1970-08-23,
1970-08-23,
1972-08-18,
1973-08-18,
1974-08-15,
1975-08-20,
1976-08-21,1.739
1976-12-31,2.22
1977-06-20,
1977-06-20,1.591
1978-05-14,1.924
1978-06-26,0.814
1978-12-24,3.3855
1979-04-15,1.998
1979-09-09,0.999
1979-11-25,2.701
1980-03-01,1.628
1980-03-17,1.739
1980-04-07,1.369
1980-05-18,
1980-05-25,0.9805
1980-07-27,2.331
1981-01-03,2.035
1981-05-24,1.554
1981-07-24,1.4985
1981-12-20,2.183
1982-07-11,2.405
1982-09-26,2.146
1982-11-27,2.035
1983-04-03,1.554
1985-01-21,5.61
1985-04-08,4.4
1985-05-19,3.4
1986-03-30,3.7
1986-05-04,4.3
1986-06-07,
1986-07-10,3.8
1986-07-27,5.6
1986-10-19,7.3
1986-12-06,11.1
1986-12-27,4.8
1987-04-20,6.4
1987-08-08,2
1987-10-10,3.5
1987-12-24,2.8
1988-01-23,2.9
1988-04-03,2.1
1988-06-26,1.6
1988-08-27,1.8
1989-03-27,2.7
1989-07-08,1.3
1989-09-23,3.4
1990-05-20,2
1990-07-31,0.9
1990-11-03,3.1
1990-12-15,3.8
1991-01-18,1.9
1991-04-01,2.9
1991-06-09,2
1991-08-25,
1991-09-28,2.8
1991-11-24,
1992-01-19,
1992-03-21,
1992-07-04,
1992-08-27,
1992-09-26,1.5
1992-12-25,3.2
1993-03-28,2.3
1993-04-11,1.9
1993-07-23,1.4
1993-10-31,1.5
1993-11-14,2.2
1993-12-25,2.6
1994-03-31,3.5
1994-05-28,1.3
1994-06-25,1.5
1994-07-09,1.6
1994-08-15,1.3
1994-10-09,1.6
1995-02-11,2.4
1995-04-16,1.6
1995-06-03,1.1
1995-08-12,0.8
1995-11-25,1.3
1996-01-20,1.2
1996-03-17,1
1996-06-16,1.3
1996-07-22,1.4
1996-09-29,0.9
1996-11-10,1.1
1997-01-03,1.6
1997-06-21,1.1
1997-07-21,1.3
1997-09-28,2.3
1997-12-21,2.5
1998-03-30,2.2
1998-03-31,0.9
1998-07-03,0.8
1998-08-03,0.7
1998-11-08,1.3
1999-01-01,1.2
1999-04-02,0.9
1999-07-03,0.3
1999-08-14,0.6
1999-10-15,0.6
1999-12-31,1
2000-03-04,2.3
2000-04-06,0.8
2000-06-05,0.6
2000-07-09,0.9
2000-11-12,0.5
2001-01-01,0.5
2001-01-20,0.525
2001-03-24,1.1
2001-04-14,1.5
2001-07-03,1.6
2001-07-28,0.8
2001-08-25,2.4
2001-10-13,1.6
2001-12-15,1.8
2001-12-31,1.6
2002-03-16,2.1
2002-03-29,1.7
2002-05-26,0.8
2002-08-08,0.7
2002-08-23,0.7
2002-12-01,1
2002-12-29,0.4
2003-03-10,0.3
2003-04-20,0.5
2003-06-28,0.3
2003-07-15,0.7
2003-09-07,
2003-12-31,0.5
2004-03-06,0.3
2004-04-12,0.4
2004-06-30,
2005-01-15,0.3
2005-02-24,0.3
2005-03-25,0.3
2005-06-30,0.3
2005-08-03,0.3
2005-12-29,0.3
2006-02-25,
2006-04-16,
2006-05-21,
2006-06-25,
2006-08-01,
2006-11-29,
2007-05-12,
2007-06-22,
2007-08-04,
2007-09-09,
2007-11-04,
2007-12-16,
2008-01-01,
2008-03-21,
2008-04-26,
2008-05-31,
2008-06-12,
2008-07-03,
2008-08-16,
2008-11-03,
2008-11-29,
2008-12-31,
2009-03-14,
2009-04-10,
2009-06-21,
2009-07-23,
2009-08-01,
2009-08-08,
2009-09-13,
2009-12-13,
2009-12-30,
2010-04-02,
2010-05-30,
2010-07-03,
2010-07-20,
2010-08-27,
2010-08-28,
2010-10-24,
2010-12-23,
2011-04-22,
2011-05-15,
2011-06-26,
2011-07-20,
2011-08-12,
2011-10-24,
2011-12-30,
2012-03-05,
2012-04-08,
2012-04-09,
2012-05-20,
2012-07-03,
2012-08-05,
2012-10-22,
2012-12-17,
2013-02-17,
2013-03-11,
2013-05-12,
2013-06-23,
2013-08-07,
2013-09-10,
2013-10-27,
2013-12-26,
2014-01-01,
2014-01-01,
2014-03-18,
2014-04-21,
2014-06-20,
2014-07-20,
2014-09-15,
2014-11-14,
2015-01-19,
2015-04-04,
2015-06-11,
2015-06-11,
2015-06-11,
2015-08-04,
2015-08-04,
2015-08-04,
2015-08-04,
2015-10-04,
2015-12-26,
2016-03-06,
2016-05-15,
2016-06-26,
2016-08-15,
2016-10-02,
2016-11-14,
2016-12-17,
2017-02-06,
2017-04-15,
2017-06-22,
2017-08-11,
2017-10-15,
2017-12-17,
2018-01-20,
2018-03-18,
2018-03-18,
2018-05-10,
2018-06-23,
2018-08-29,
2018-10-28,
2018-12-31,
2019-03-07,
2019-05-16,
2019-06-23,
2019-08-29,
2019-10-16,
2019-11-15,
2019-11-15,
2020-01-06,
2020-03-03,
